CVE-2017-11340	0	Segmentation fault	SIGSEGV	['XmpParser::terminate']	['include/exiv2/types.hpp', 'image.cpp', 'orfimage.cpp']
CVE-2017-11683	2		SIGABRT	['Exiv2::Internal::TiffReader::visitDirectory', 'Exiv2::Internal::TiffDirectory::doAccept', 'Exiv2::Internal::TiffComponent::accept', 'Exiv2::Internal::TiffSubIfd::doAccept', 'Exiv2::Internal::TiffComponent::accept', 'Exiv2::Internal::TiffDirectory::doAccept']	[]
CVE-2018-8976	-2	SEGV	SIGSEGV	['Exiv2::Internal::stringFormat', 'Exiv2::JpegBase::printStructure']	['image.cpp', 'jpgimage.cpp']
CVE-2018-8976	-2	SEGV	SIGSEGV	['Exiv2::Internal::stringFormat[abi:cxx11]', 'Exiv2::JpegBase::printStructure']	['image.cpp', 'jpgimage.cpp']
CVE-2018-9303	-2	assertion-fail	SIGABRT	['Exiv2::(anonymous namespace)::BigTiffImage::readData', 'Exiv2::(anonymous namespace)::BigTiffImage::printIFD', 'Exiv2::(anonymous namespace)::BigTiffImage::printStructure']	['bigtiffimage.cpp']
CVE-2018-9305	2	SEGV	SIGSEGV	['Exiv2::IptcData::printStructure', 'Exiv2::Image::printIFDStructure']	[]
CVE-2019-13108	0	SEGV	SIGSEGV	['PngImage::readMetadata']	['pngimage.cpp']
CVE-2019-13109	0	SEGV	SIGSEGV	['PngImage::readMetadata']	['pngimage.cpp']
CVE-2019-13110	0	SEGV	SIGSEGV	['CiffDirectory::readDirectory']	['crwimage_int.cpp']
CVE-2019-13112	2	excessive_memory_allocation	SIGABRT	['Exiv2::DataBuf::alloc', 'Exiv2::Internal::PngChunk::readRawProfile', 'Exiv2::Internal::PngChunk::parseChunkContent', 'Exiv2::Internal::PngChunk::decodeTXTChunk', 'Exiv2::PngImage::readMetadata']	[]
CVE-2019-13113	2		SIGABRT	['Exiv2::Internal::CiffComponent::doRead', 'Exiv2::Internal::CiffComponent::read', 'Exiv2::Internal::CiffDirectory::readDirectory']	['crwimage.cpp']
CVE-2017-11591	2		SIGFPE	['Exiv2::ValueType<std::pair<int, int> >::toLong', 'Exiv2::Internal::TiffImageEntry::setStrips', 'Exiv2::Internal::TiffReader::readDataEntryBase', 'Exiv2::Internal::TiffReader::visitImageEntry', 'Exiv2::Internal::TiffComponent::accept', 'Exiv2::Internal::TiffDirectory::doAccept', 'Exiv2::Internal::TiffParserWorker::parse', 'Exiv2::Internal::TiffParserWorker::decode', 'Exiv2::TiffParser::decode', 'Exiv2::TiffImage::readMetadata']	['include/exiv2/value.hpp，tiffcomposite.cpp，tiffvisitor.cpp']
